,tissue,histology,sub-histology,gender,Custom
LN18,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
769P,kidney,carcinoma,clear_cell_renal_cell_carcinoma,F,Unknown
786O,kidney,carcinoma,clear_cell_renal_cell_carcinoma,M,Unknown
CAOV3,ovary,carcinoma,adenocarcinoma,F,Unknown
HEPG2,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
MOLT4,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,M,Unknown
NCIH524,lung,carcinoma,small_cell_carcinoma,M,Unknown
NCIH209,lung,carcinoma,small_cell_carcinoma,M,Unknown
MIAPACA2,pancreas,carcinoma,ductal_carcinoma,M,Unknown
MCAS,ovary,carcinoma,adenocarcinoma,F,Unknown
SBC5,lung,carcinoma,small_cell_carcinoma,NA,Unknown
COLO829,skin,malignant_melanoma,NS,M,Unknown
VCAP,prostate,carcinoma,adenocarcinoma,M,Unknown
COLO704,ovary,carcinoma,NS,F,Unknown
IPC298,skin,malignant_melanoma,NS,F,Unknown
CAPAN2,pancreas,carcinoma,ductal_carcinoma,M,Unknown
EFM192A,breast,carcinoma,NS,F,Unknown
HS766T,pancreas,carcinoma,ductal_carcinoma,M,Unknown
EFO27,ovary,carcinoma,mucinous_carcinoma,F,Unknown
A2780,ovary,carcinoma,adenocarcinoma,F,Unknown
NCIH196,lung,carcinoma,small_cell_carcinoma,M,Unknown
IGROV1,ovary,carcinoma,adenocarcinoma,F,Unknown
NCIH889,lung,carcinoma,small_cell_carcinoma,F,Unknown
NCIH211,lung,carcinoma,small_cell_carcinoma,F,Unknown
HS571T,ovary,carcinoma,NS,F,Unknown
MDAPCA2B,prostate,carcinoma,adenocarcinoma,M,Unknown
SKMEL24,skin,malignant_melanoma,NS,M,Unknown
K029AX,skin,malignant_melanoma,NS,NA,Unknown
HT1376,urinary_tract,carcinoma,transitional_cell_carcinoma,F,Unknown
NCIH2171,lung,carcinoma,small_cell_carcinoma,M,Unknown
PANC1005,pancreas,carcinoma,ductal_carcinoma,M,Unknown
EVSAT,breast,carcinoma,NS,F,Unknown
HS695T,skin,malignant_melanoma,NS,M,Unknown
CHL1,skin,malignant_melanoma,NS,NA,Unknown
LOUNH91,lung,carcinoma,squamous_cell_carcinoma,F,Unknown
LK2,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
TOV21G,ovary,carcinoma,clear_cell_carcinoma,F,Unknown
SKMEL3,skin,malignant_melanoma,NS,F,Unknown
ASPC1,pancreas,carcinoma,ductal_carcinoma,F,Unknown
OVSAHO,ovary,carcinoma,adenocarcinoma,F,Unknown
NCIH441,lung,carcinoma,adenocarcinoma,M,Unknown
RERFLCSQ1,lung,carcinoma,squamous_cell_carcinoma,F,Unknown
NCIH2030,lung,carcinoma,non_small_cell_carcinoma,M,Unknown
HMCB,skin,malignant_melanoma,NS,NA,Unknown
FUOV1,ovary,carcinoma,serous_carcinoma,F,Unknown
MALME3M,skin,malignant_melanoma,NS,M,Unknown
KMS12BM,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
T98G,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
HL60,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,F,Unknown
DBTRG05MG,central_nervous_system,glioma,astrocytoma_Grade_IV,F,Unknown
HEYA8,ovary,carcinoma,NS,F,Unknown
NCIH2122,lung,carcinoma,adenocarcinoma,F,Unknown
MELJUSO,skin,malignant_melanoma,NS,F,Unknown
SW620,large_intestine,carcinoma,adenocarcinoma,M,Unknown
HCT116,large_intestine,carcinoma,NS,M,Unknown
VMRCRCZ,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
DU145,prostate,carcinoma,NS,M,Unknown
MM1S,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,NA,Unknown
L33,pancreas,carcinoma,NS,NA,Unknown
SKMEL2,skin,malignant_melanoma,NS,M,Unknown
A549,lung,carcinoma,non_small_cell_carcinoma,M,Unknown
A172,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
NCIH1975,lung,carcinoma,non_small_cell_carcinoma,F,Unknown
COLO679,skin,malignant_melanoma,NS,F,Unknown
KP2,pancreas,carcinoma,NS,F,Unknown
HUH1,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
MDAMB453,breast,carcinoma,NS,F,Unknown
MDAMB231,breast,carcinoma,NS,F,Unknown
