Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
SYK	5/39	0.000003642868468734456190399710606708794102814863435924053192138671875	0.000085607409015259726403623830037759034894406795501708984375	0.000088636567401814873672603878329567805849364958703517913818359375	0.0020829593339426496871602534355361058260314166545867919921875	-1.466295739295519	18.36203905378941	LAT2;PLCG2;BLNK;HCLS1;LCP2
TXK	1/3	0.018041310570632761167697566406786791048943996429443359375	0.1206498881461282313143357214357820339500904083251953125	0.042687248944836046760098469121658126823604106903076171875	0.31410935815807772275576326137525029480457305908203125	-4.044731781638442	16.23996665497874	LCP2
MAP4K1	1/4	0.0239830519031355680892314552465904853306710720062255859375	0.125244826605263537278034391420078463852405548095703125	0.053079532960546814412960969775667763315141201019287109375	0.31410935815807772275576326137525029480457305908203125	-3.6799561057821797	13.727737213822147	LCP2
LYN	7/82	0.000000650542693315102955292747628768257328601976041682064533233642578125	0.0000305755065858098382634844281113828401430509984493255615234375	0.0000337333775558875724009770535882779540770570747554302215576171875	0.001585468745126716004489875189165104529820382595062255859375	-0.8797594115542062	12.532576547638177	LAT2;PLCG2;LY96;HCLS1;LPXN;LCP2;PAG1
KIT	1/6	0.035759774043955229461122513612281181849539279937744140625	0.1400591150054913136546730356712942011654376983642578125	0.07353662415735699731111907340164179913699626922607421875	0.31410935815807772275576326137525029480457305908203125	-3.2371427539020887	10.782701246053255	LAT2
FGR	1/7	0.0415951780319182840006675405675196088850498199462890625	0.1485060796678429884121186432821559719741344451904296875	0.083603659880582659180703331003314815461635589599609375	0.31410935815807772275576326137525029480457305908203125	-3.2534648346071893	10.345273231876247	HCLS1
GRK6	1/6	0.035759774043955229461122513612281181849539279937744140625	0.1400591150054913136546730356712942011654376983642578125	0.07353662415735699731111907340164179913699626922607421875	0.31410935815807772275576326137525029480457305908203125	-2.9393095116312624	9.790639073732121	CXCR4
FES	1/6	0.035759774043955229461122513612281181849539279937744140625	0.1400591150054913136546730356712942011654376983642578125	0.07353662415735699731111907340164179913699626922607421875	0.31410935815807772275576326137525029480457305908203125	-2.869864404378144	9.559322168227142	HCLS1
HCK	3/41	0.001947152421755505256883989062544060288928449153900146484375	0.0228790409556271882862699129645989160053431987762451171875	0.01138972484920677298581015435274821356870234012603759765625	0.133829266978179595160014514476642943918704986572265625	-1.4713695940358236	9.183387453995506	PLCG2;BLNK;LCP2
CSF1R	1/8	0.04739555734080096172089469064303557388484477996826171875	0.1485060796678429884121186432821559719741344451904296875	0.0935644896641082690624813267277204431593418121337890625	0.31410935815807772275576326137525029480457305908203125	-2.8159078183128905	8.586341534288477	HCLS1
PRKCQ	2/35	0.018962797456420439623503426673778449185192584991455078125	0.1206498881461282313143357214357820339500904083251953125	0.06000182285068532406224761643898091278970241546630859375	0.31410935815807772275576326137525029480457305908203125	-1.9937870104399795	7.905916275807642	WIPF1;RASGRP1
ZAP70	1/10	0.05889207459057126115009594968796591274440288543701171875	0.172995469109803068352704258359153755009174346923828125	0.113171868048266011097524597062147222459316253662109375	0.35460518655123351994262748121400363743305206298828125	-2.6164766003943076	7.409989297100986	LCP2
PRKCD	5/104	0.0004255306224346164082651677862401129459613002836704254150390625	0.006666646418142323747557664859186843386851251125335693359375	0.00575604334538282191857661018730141222476959228515625	0.09017801241099754339103355960105545818805694580078125	-0.9189261382095056	7.132864251179825	NCF4;CXCR4;CYBA;LCP1;FLI1
LCK	3/96	0.020536151173809059911068430892555625177919864654541015625	0.1206498881461282313143357214357820339500904083251953125	0.090283541975607783935942052266909740865230560302734375	0.31410935815807772275576326137525029480457305908203125	-1.6131311027969495	6.267931357514089	PLCG2;LCP2;VAV1
CSK	1/15	0.0870348795524412965907146144672879017889499664306640625	0.21529680731393374681914565371698699891567230224609375	0.1604064824268378597338369218050502240657806396484375	0.44817996082853694961301016519428230822086334228515625	-2.1650189147882166	5.2857774758285645	PTPRC
PIM1	1/18	0.1035182550318781979914461999214836396276950836181640625	0.231683713642775013230590275270515121519565582275390625	0.187565314432191987403797384104109369218349456787109375	0.44817996082853694961301016519428230822086334228515625	-2.043524556694001	4.634728621935712	CXCR4
IGF1R	3/86	0.0153602149795190774661524102384646539576351642608642578125	0.1206498881461282313143357214357820339500904083251953125	0.070277610209490692927403188150492496788501739501953125	0.31410935815807772275576326137525029480457305908203125	-0.8473658227629747	3.5385781148874345	BLNK;LPXN;LCP2
BTK	1/17	0.09805685682627575394665342400912777520716190338134765625	0.230433613541748016917409813686390407383441925048828125	0.1786085118012017414201864085043780505657196044921875	0.44817996082853694961301016519428230822086334228515625	-1.4020651704393499	3.255886670485249	PLCG2
MAPK9	3/131	0.045271965595802286796978108895928016863763332366943359375	0.1485060796678429884121186432821559719741344451904296875	0.175564221185135094227547369882813654839992523193359375	0.44817996082853694961301016519428230822086334228515625	-1.025247335399646	3.1732095012710024	IFI16;HCLS1;ARHGEF6
RPS6KB1	1/34	0.18657023312790210756162423422210849821567535400390625	0.324770405815236973268156361882574856281280517578125	0.3186174452997778683283058853703550994396209716796875	0.65108782300389389519068572553806006908416748046875	-1.409303747046688	2.3661470389967603	DEPTOR
PAK1	1/48	0.25295201755218144068493302256683818995952606201171875	0.396291494165084301481982720360974781215190887451171875	0.41626269295684392712786348056397400796413421630859375	0.75247486803737173577388830381096340715885162353515625	-1.6380363239027251	2.2515717762781695	CASP1
EGFR	2/72	0.07056935574366916819055717269293381832540035247802734375	0.1892745314332230088805175682864501141011714935302734375	0.1907148769483135719582378442282788455486297607421875	0.44817996082853694961301016519428230822086334228515625	-0.8435640056166368	2.2364225445771013	PLCG2;HCLS1
CDK5	2/97	0.11684515692362244798641057741406257264316082000732421875	0.24962374433682976704318434713059104979038238525390625	0.291686462930592416142872025375254452228546142578125	0.65108782300389389519068572553806006908416748046875	-0.9440981582323403	2.0268896849884093	PRDX2;CORO1A
MAPKAPK2	1/47	0.2483940906778367152529796157978125847876071929931640625	0.396291494165084301481982720360974781215190887451171875	0.40976398030557381613192546865320764482021331787109375	0.75247486803737173577388830381096340715885162353515625	-1.3024383841196436	1.8139563663463685	RCSD1
SRC	4/259	0.0724881184212343432360370343303657136857509613037109375	0.1892745314332230088805175682864501141011714935302734375	0.317585090760849009239308315954986028373241424560546875	0.65108782300389389519068572553806006908416748046875	-0.5937479743169078	1.5581921737319995	ARHGDIB;PLCG2;PAG1;VAV1
FYN	2/115	0.153694019651670343851179723060340620577335357666015625	0.288944756945140268644678371856571175158023834228515625	0.364235835745032654475750177880399860441684722900390625	0.713295178334022228483490835060365498065948486328125	-0.7678497781517086	1.4380225673020983	PLCG2;LPXN
CSNK2A2	3/229	0.1616829041197635763449369505906361155211925506591796875	0.2922729420626495322466098514269106090068817138671875	0.465794249319977649026469634918612428009510040283203125	0.81082702659403527167825131982681341469287872314453125	-0.504490337958303	0.9192410486661597	PTPRC;IFI16;GMFG
RPS6KA1	1/65	0.326373044262045330921040431348956190049648284912109375	0.4793604087598790641777668497525155544281005859375	0.5166779849073732666653313572169281542301177978515625	0.83737466519470837855720901643508113920688629150390625	-0.7876954354549355	0.8819937992363724	DEPTOR
RPS6KA3	4/332	0.142361831928695059534817346502677537500858306884765625	0.278791920860361142064931527784210629761219024658203125	0.50219209119703511756682701161480508744716644287109375	0.83737466519470837855720901643508113920688629150390625	-0.35544010938514214	0.6928890312074972	ITGA4;IFI16;WIPF1;LCP2
CSNK1A1	1/84	0.39998908879506089864008799850125797092914581298828125	0.5371282049533674385344284019083715975284576416015625	0.6090969896995621635227280421531759202480316162109375	0.8436313173222587113997406049747951328754425048828125	-0.6501721341722903	0.595764436310311	DEPTOR
MTOR	1/78	0.37764810164617956811383692183881066739559173583984375	0.52204296404030703371290655923075973987579345703125	0.5819417863144591418489426359883509576320648193359375	0.8436313173222587113997406049747951328754425048828125	-0.6095527505902255	0.5935778755385506	DEPTOR
CAMK2A	1/90	0.42153447772433116913504136391566134989261627197265625	0.538607620621792460013921299832873046398162841796875	0.63453689585296946251702365771052427589893341064453125	0.8436313173222587113997406049747951328754425048828125	-0.6713873803641419	0.5799804774950144	APOBEC3G
PRKCA	5/442	0.1304687385965442592006269251214689575135707855224609375	0.266610031045112216840919927562936209142208099365234375	0.54471208606193266543726849704398773610591888427734375	0.8436313173222587113997406049747951328754425048828125	-0.2730895406871133	0.556180066009186	GNA15;POU2AF1;NCF4;ARHGDIB;CYBA
ABL1	1/94	0.43546999114102369343726195438648574054241180419921875	0.538607620621792460013921299832873046398162841796875	0.65059613692697570996870126691646873950958251953125	0.8436313173222587113997406049747951328754425048828125	-0.6500406367516873	0.5403978871592584	VAV1
CSNK2A1	3/286	0.250042201694294419223041359146009199321269989013671875	0.396291494165084301481982720360974781215190887451171875	0.61901649677494818835299383863457478582859039306640625	0.8436313173222587113997406049747951328754425048828125	-0.3671776668098139	0.508954352179926	PTPRC;IFI16;HCLS1
MAPK10	1/105	0.472099230421620885689293345421901904046535491943359375	0.554716595745404550399371146340854465961456298828125	0.69130771833958915006945744607946835458278656005859375	0.8436313173222587113997406049747951328754425048828125	-0.5417073730590779	0.406587180342899	PHACTR1
AKT1	2/210	0.363480802529285107471679339141701348125934600830078125	0.51768477935989098970281929723569191992282867431640625	0.680846082351302950286253690137527883052825927734375	0.8436313173222587113997406049747951328754425048828125	-0.3964300456602163	0.4011986219078303	RGCC;NCF4
PRKACB	1/111	0.491074972098595574632184934671386145055294036865234375	0.5564449187978526278897106749354861676692962646484375	0.71153280913997585255259537007077597081661224365234375	0.8436313173222587113997406049747951328754425048828125	-0.5394483139102125	0.3836332376609149	LCP1
PRKACG	2/176	0.288228399402792323513722294592298567295074462890625	0.4369914442558464617860636280965991318225860595703125	0.5836605318274223908048270459403283894062042236328125	0.8436313173222587113997406049747951328754425048828125	-0.30726167841805485	0.38223416080819295	ITGA4;LCP1
INSR	1/113	0.49724865084063429865324224010691978037357330322265625	0.5564449187978526278897106749354861676692962646484375	0.7179840998487307945907787143369205296039581298828125	0.8436313173222587113997406049747951328754425048828125	-0.47685529805525995	0.3331621423383012	DDX3Y
CSNK1E	1/128	0.54124378561163855039239933830685913562774658203125	0.59159204473830262482891839681542478501796722412109375	0.76210060664443146638546977555961348116397857666015625	0.86336990853424122605019874754361808300018310546875	-0.3890875612345863	0.238855204788667	PTPRC
PRKCB	2/250	0.447932594750736878808083929470740258693695068359375	0.53981620393037521576928838840103708207607269287109375	0.77152204592421558260184610844589769840240478515625	0.86336990853424122605019874754361808300018310546875	-0.13190276193554154	0.10593275900972698	IFI16;WIPF1
PRKACA	3/393	0.425708623580392131469096739238011650741100311279296875	0.538607620621792460013921299832873046398162841796875	0.82243872107434057294739204735378734767436981201171875	0.89894464861613965211972754332236945629119873046875	-0.11787877736353583	0.10066849342543849	ITGA4;APOBEC3G;LCP1
CDK1	3/494	0.5777220608232902510081885338877327740192413330078125	0.617112201333969156991088311769999563694000244140625	0.92377889462506324047552652700687758624553680419921875	0.9639911246052343951618013306870125234127044677734375	-0.1643469206864045	0.0901709742254419	RGCC;LCP2;PHACTR1
MAPK14	2/396	0.6946044010465637352780277069541625678539276123046875	0.70970449672148905317925482449936680495738983154296875	0.94206920934517690557896685277228243649005889892578125	0.9639911246052343951618013306870125234127044677734375	-0.23509612090484935	0.08567203630037507	CCND2;LCP2
GSK3B	3/527	0.62173554690228105545912740126368589699268341064453125	0.6493682378757157369619790188153274357318878173828125	0.94348067514554856405339933189679868519306182861328125	0.9639911246052343951618013306870125234127044677734375	-0.018730141356029087	0.008901320664319399	CCND2;IFI16;ARHGEF6
CDK2	1/553	0.966731321262390697057753641274757683277130126953125	0.96673132126239058603545117875910364091396331787109375	0.99870304758888084339929491761722601950168609619140625	0.99870304758888084339929491761722601950168609619140625	0.4386758957463453	-0.014842454102756121	IFI16
