	('B cells', 'Broad Cell Type: B cells')	('Dendritic cells', 'Broad Cell Type: Dendritic cells')	('Eosinophils', 'Broad Cell Type: Eosinophils')	('Mast cells', 'Broad Cell Type: Mast cells')	('Monocytes and Macrophages', 'Broad Cell Type: Monocytes and Macrophages')	('NK cells', 'Broad Cell Type: NK cells')	('PMNs', 'Broad Cell Type: PMNs')	('Plasma cells', 'Broad Cell Type: Plasma cells')	('T cells', 'Broad Cell Type: T cells')
ABCB4_12532	2.613575969839455	0.10174285337781323	-0.40097221412004747	-0.3516280185624039	-0.11148252013665108	-0.4674014158844378	-0.40232103039952755	-0.4886452722862478	-0.49286835182795313
ABCB9_21808	-0.4107729834152386	-0.14550857496192335	-0.3578313541205352	-0.31548288774546634	-0.32497561935723934	-0.4093944211174779	-0.33901518802127556	2.6585596945936767	-0.3555786658545203
ACAP1_26957	-0.2793900492041506	-0.899870171389921	0.9031182681759176	-0.7755199480738628	-0.8181673360726041	0.2225007699102894	0.6256822961024723	-0.9144589766139801	1.9361051471658404
ACHE_12701	-0.46790534852776483	0.3147551500409	-0.252367212236748	-0.4561287490321496	2.582124064497991	-0.47528769448024	-0.4073964772387271	-0.413109006844809	-0.4246847261784521
ACP5_30657	-0.2874525294712641	2.2127260905147303	-0.42167543276697633	-0.6073396999858459	1.1670468792065227	-0.6084495213038597	-0.6028545813850233	-0.3367069888503707	-0.5152942159579109
ADAM28_14702	2.516252928779323	-0.6210728719179563	0.42581041815362225	-0.44941290457309246	-0.3244258001069777	-0.4146147051277721	-0.4466428466418789	-0.03669517891986751	-0.6491990396453996
ADAMDEC1_14704	-0.35090075032158013	0.08800007350757343	-0.469050814942224	0.21009695014623744	2.5614023719937995	-0.5504464103641648	-0.4618469250452552	-0.5019351092494705	-0.525319385724917
ADAMTS3_7695	-0.0044931057311106345	-0.5209910856896003	-0.16908388179496028	2.6025054855532166	-0.5531020101905346	-0.5555820563534033	-0.01593697887480552	-0.34025569538903666	-0.4430606715297648
ADRB2_9787	-0.5705781456867933	-0.8774087706561645	0.6526359807767247	2.140669703260929	-0.5776742380257948	0.8106295514889172	-0.3731017758191261	-0.7439032677930075	-0.46126903754568266
AIF1_10635	-0.6993282530351492	-0.054513648317741324	-0.6878906893112706	-0.012845559947102889	1.6317575253889975	-0.6826543094383754	1.762379948635076	-0.6994170386773045	-0.5574879752971289
AIM2_2096	2.137413303694156	-0.352058347160602	-0.9107523933792072	-0.9630168532612794	0.19554052411955272	-0.9194982341225053	-0.020111244998491207	0.8162517284757363	0.016231516632640663
ALOX15_26858	-0.44425977030781094	2.592434610564754	0.269647973165872	-0.4486296549644386	-0.23556388266712652	-0.42967958236039955	-0.40863321663945795	-0.45243635639562974	-0.44288012039576286
ALOX5_19319	1.156609619880258	-0.8298169335557035	0.5145347377149526	-0.3174334559853291	-0.16098975204873783	-0.7867522565666896	1.9490489213917674	-0.7367095753131321	-0.7884913055173853
AMPD1_1577	-0.19836839110808333	-0.3694516652433697	-0.3244962671221305	-0.3788399411562389	-0.37011709798664455	-0.384942320499604	-0.2674650701481292	2.661460362146008	-0.36777960888180766
ANGPT4_29321	-0.3904090722050006	-0.49542308450515626	-0.49752047180316206	-0.24351963764465898	-0.38889027450644464	-0.4545601940440075	-0.20952749867697773	2.6249829490280496	0.05486728435735747
ANKRD55_8917	-0.1966776149156845	-0.5981237905672756	2.3083655397663443	-0.5736756663222755	-0.6661613559065611	-0.705088168537559	0.30509176066473126	-0.6091515203866955	0.7354208162049758
APOBEC3A_32907	-0.5993365758326931	0.11661266297326016	-0.015247780776337753	-0.6236655469738689	0.349358698556201	-0.5450759036817304	2.478696094722458	-0.5973315949237558	-0.5640100540635337
APOBEC3G_32913	-0.21721775108088448	-0.3961186777108822	-0.6103370454307337	-0.5359627719166021	-0.47815674452449464	2.566937578241673	-0.54150003126164	0.14200324254584257	0.07035220113772199
APOL3_32815	-0.4629829567541464	-0.29200634104107565	-0.7430931389032222	-0.6663274895351124	2.4507003179907194	0.2784560453244536	-0.74454213744507	-0.06856868099815529	0.24836438136160888
APOL6_32807	-0.5782062143273794	0.18641842744172388	-0.6713290150637667	-0.5650202008271036	2.0002339193406526	1.3605207664559051	-0.5277601377827559	-0.650756645453378	-0.5541008997838994
AQP9_24535	-0.479616332027495	-0.1922254462549774	-0.45469845737576703	-0.20740328093026705	0.15481783332188465	-0.4717756336425758	2.6042711599017374	-0.48019424557224555	-0.47317559742029364
ARHGAP22_19354	-0.3749265076353788	2.650142232275967	-0.2995192146912575	-0.35957845286584833	-0.05156129866082112	-0.34969374236290296	-0.41447473683662167	-0.4080538992449649	-0.39233437997817266
ARRB1_18293	-0.4506025466398867	-0.31635712143729466	-0.3874193839269283	-0.31638719433720564	2.6363054469719107	0.0463821972888848	-0.3472419896458659	-0.4300026102008689	-0.43467679807274606
ASGR1_26939	-0.3934496608107083	-0.2480200828340021	-0.4076472713255847	-0.1877213509175389	2.6198972411710177	-0.7075512370664667	-0.027436358077776835	-0.38330851044293957	-0.2647627696960019
ASGR2_26938	-0.3766221828957689	-0.35408626888703576	-0.27023818339100725	-0.4313602187760666	2.6595142072647397	-0.389854023630192	-0.2773694491341911	-0.3664545579103702	-0.19352932264010816
ATHL1_17014	-0.16673420363293034	-1.0326668040161928	-0.41716355704417474	-0.9555549462362167	-0.8174217822101035	-0.2241485658945343	1.4482353146391085	0.5090177984622966	1.656436745932747
ATP8B4_24447	-0.6094662319801237	-0.16328143014313223	-0.14526552617559588	2.4408220808948253	-0.15466171634665166	0.5785426211198691	-0.6251774879848254	-0.6449528543756012	-0.676559455008764
ATXN8OS_22371	-0.23572007524189761	-0.4133306267818265	-0.20669372880592646	-0.3102679165289952	-0.4087273295496901	-0.4513078289469517	-0.3059203580319775	2.6578358432584994	-0.3258679793712352
AZU1_30226	-0.5889368493244246	-0.47069939951194456	-0.25926888799072506	2.54648085144976	-0.08901693810461997	0.3432332360157552	-0.3867059098476866	-0.497899001890748	-0.5971871007953664
BACH2_11212	2.6000735549831386	-0.4951860267591417	-0.36428570795036674	-0.49206709008826355	-0.5052163705869032	-0.021448611812400924	-0.42596016534547426	-0.41124862176527466	0.11533903932468566
BANK1_7915	2.6495906271573335	-0.38040052693740006	-0.033397201383526684	-0.3616298950849901	-0.3802620817641731	-0.3801200171092932	-0.37863783937239354	-0.3534534860308841	-0.3816895794746723
BARX2_18881	-0.7488351174072649	-0.6430240060764737	1.0210090690369316	-0.06604675045023836	-0.7377172832456964	-0.6294142435683464	0.8657427643667488	-0.9180945581773533	1.8563801255216934
BCL11B_23715	-0.3768872696125677	-0.4316127386502481	-0.24278186860928697	-0.45993950670303063	-0.44430976568266045	0.0635328397743422	-0.36256998222820774	-0.3771651506755666	2.631733442387225
BCL2A1_24881	-0.7394050687883562	-0.16085663351500445	2.130052979706853	-0.3287465240714798	0.041665235140451576	-0.6690269500238439	1.1473022033352358	-0.7695281530654466	-0.6514570887184088
BCL7A_21784	2.5550666111324563	0.191396062753429	-0.5653142033920571	-0.14037064976110922	-0.443705723926227	-0.719028773072171	-0.3768737954088217	-0.011606061879449752	-0.48956346644604853
BEND5_971	2.477922515317497	-0.45439354149514	-0.3744378139146769	-0.5728261131254294	-0.5751304955437981	-0.5963350420174112	-0.2053933935726931	0.6038042343674989	-0.30321035001584634
BFSP1_29497	-0.9366678428530365	-0.5575713656130629	-0.7371983465642349	1.2561041591071056	0.1666804442104133	0.2242933615503726	-0.3285121534699014	-0.9732198447907751	1.8860915884231213
BHLHE41_20585	-0.21636907272168934	0.05559632058160726	-0.7115301551571351	-0.31245741588994946	2.146148898453946	-0.716698332489313	-0.6647780279060496	1.1310244517898813	-0.7109366666612972
