	X.X	Y.Y
('C-643_BALBc-1_X01_Y01_10_277', 'Cell Type: B cells')	10	1723
('C-1264_BALBc-1_X01_Y01_1006_490', 'Cell Type: B cells')	1006	1510
('C-1589_BALBc-1_X01_Y01_101_504', 'Cell Type: B cells')	101	1496
('C-1611_BALBc-1_X01_Y01_101_759', 'Cell Type: B cells')	101	1241
('C-1873_BALBc-1_X01_Y01_1013_254', 'Cell Type: B cells')	1013	1746
('C-1877_BALBc-1_X01_Y01_1013_293', 'Cell Type: B cells')	1013	1707
('C-1935_BALBc-1_X01_Y01_1013_914', 'Cell Type: B cells')	1013	1086
('C-2478_BALBc-1_X01_Y01_1020_25', 'Cell Type: B cells')	1020	1975
('C-2866_BALBc-1_X01_Y01_1025_128', 'Cell Type: B cells')	1025	1872
('C-2988_BALBc-1_X01_Y01_1026_609', 'Cell Type: B cells')	1026	1391
('C-3121_BALBc-1_X01_Y01_1028_10', 'Cell Type: B cells')	1028	1990
('C-3220_BALBc-1_X01_Y01_1029_199', 'Cell Type: B cells')	1029	1801
('C-3350_BALBc-1_X01_Y01_103_877', 'Cell Type: B cells')	103	1123
('C-3562_BALBc-1_X01_Y01_1032_941', 'Cell Type: B cells')	1032	1059
('C-3566_BALBc-1_X01_Y01_1032_996', 'Cell Type: B cells')	1032	1004
('C-3997_BALBc-1_X01_Y01_1038_240', 'Cell Type: B cells')	1038	1760
('C-4331_BALBc-1_X01_Y01_1041_691', 'Cell Type: B cells')	1041	1309
('C-4357_BALBc-1_X01_Y01_1041_883', 'Cell Type: B cells')	1041	1117
('C-4446_BALBc-1_X01_Y01_1042_941', 'Cell Type: B cells')	1042	1059
('C-4781_BALBc-1_X01_Y01_1047_289', 'Cell Type: B cells')	1047	1711
('C-6348_BALBc-1_X01_Y01_1065_305', 'Cell Type: B cells')	1065	1695
('C-6416_BALBc-1_X01_Y01_1066_194', 'Cell Type: B cells')	1066	1806
('C-6555_BALBc-1_X01_Y01_1068_135', 'Cell Type: B cells')	1068	1865
('C-6697_BALBc-1_X01_Y01_1069_600', 'Cell Type: B cells')	1069	1400
('C-6969_BALBc-1_X01_Y01_1072_106', 'Cell Type: B cells')	1072	1894
('C-7033_BALBc-1_X01_Y01_1072_670', 'Cell Type: B cells')	1072	1330
('C-7127_BALBc-1_X01_Y01_1073_75', 'Cell Type: B cells')	1073	1925
('C-7426_BALBc-1_X01_Y01_1077_266', 'Cell Type: B cells')	1077	1734
('C-7713_BALBc-1_X01_Y01_1080_242', 'Cell Type: B cells')	1080	1758
('C-8117_BALBc-1_X01_Y01_1085_774', 'Cell Type: B cells')	1085	1226
('C-8161_BALBc-1_X01_Y01_1086_450', 'Cell Type: B cells')	1086	1550
('C-8563_BALBc-1_X01_Y01_1090_6', 'Cell Type: B cells')	1090	1994
('C-8628_BALBc-1_X01_Y01_1091_43', 'Cell Type: B cells')	1091	1957
('C-9642_BALBc-1_X01_Y01_1102_507', 'Cell Type: B cells')	1102	1493
('C-9652_BALBc-1_X01_Y01_1102_662', 'Cell Type: B cells')	1102	1338
